City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Mawlaik,MM,77.34,broken clouds,23.63,94.42,AKZ Guest House
255,Karratha,AU,75.04,clear sky,-20.74,116.85,ibis Styles Karratha
256,Maymyo,MM,78.8,broken clouds,22.03,96.47,Tiger Hotel
260,Santa Rosa,PH,84.0,overcast clouds,14.31,121.11,Amethyst Econotel
261,Napanee,CA,77.0,broken clouds,44.25,-76.95,Fox Motor Inn
262,Faanui,PF,76.86,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
266,Pachino,IT,77.0,clear sky,36.72,15.09,Il Veliero
271,Manono,CD,76.37,broken clouds,-7.3,27.42,Hotel hewa bora
274,Bend,US,82.4,clear sky,44.06,-121.32,Fairfield Inn & Suites by Marriott Bend Downtown
276,Sarakhs,IR,82.4,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
277,Kavieng,PG,83.12,few clouds,-2.57,150.8,Nusa Island Retreat
278,Ugoofaaru,MV,83.21,scattered clouds,5.67,73.0,Ungoofaaru Inn
280,Najran,SA,87.8,clear sky,17.49,44.13,محمد هادي ال فطيح
281,Porto Novo,BJ,75.2,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
282,San Jose,US,90.0,smoke,37.34,-121.89,The Westin San Jose
283,Namatanai,PG,83.43,light rain,-3.67,152.43,Namatanai Hotel
286,Mitsamiouli,KM,76.24,scattered clouds,-11.38,43.28,Foyer ADM
288,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
291,Acapulco,MX,86.0,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
295,The Valley,AI,82.4,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
297,Touros,BR,75.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
301,Nishihara,JP,82.4,broken clouds,26.18,127.76,Minshuku Agaihama
302,Hamilton,US,78.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
307,Hit,IQ,83.23,clear sky,33.64,42.83,Aboody Alhachem
310,Gizo,SB,83.86,light rain,-8.1,156.84,Imagination Island
311,Lake City,US,75.2,light rain,30.19,-82.64,Holiday Inn & Suites Lake City
312,Juazeiro,BR,79.32,clear sky,-9.41,-40.5,JB Hotel
316,Balabac,PH,84.34,light rain,7.99,117.06,Sing and Swing Lodge
317,Kingston,JM,87.8,few clouds,18.0,-76.79,The Jamaica Pegasus Hotel
318,Huicheng,CN,80.6,mist,23.04,116.29,Huilai Hotel
319,San Policarpo,PH,82.31,moderate rain,12.18,125.51,Zal-Ann Beach Resort
322,Muisne,EC,78.8,broken clouds,0.6,-80.03,Quinta Samay
323,Ourossogui,SN,89.6,light rain,15.61,-13.32,Auberge Sogui
327,Los Llanos De Aridane,ES,75.2,few clouds,28.66,-17.92,Valle Aridane
328,Shamsabad,IN,78.8,broken clouds,27.02,78.13,Garhi Sakkan Patti Shekhupur
330,Joppatowne,US,80.6,clear sky,39.46,-76.36,Hampton Inn & Suites Edgewood/Aberdeen-South
333,Cintalapa,MX,76.51,moderate rain,16.7,-93.73,Casa Blanca Hotel Hacienda
335,Makakilo City,US,89.6,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
338,Grand-Santi,GF,79.3,overcast clouds,4.25,-54.38,Hotel La Villa Couacou
340,Karatsu,JP,82.0,broken clouds,33.44,129.97,Niji no Matsubara Hotel
341,Celestun,MX,84.02,clear sky,20.87,-90.4,Posada Lilia
342,Gat,IL,77.0,clear sky,31.61,34.76,רגע בנחת
343,Teguise,ES,75.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
347,San Patricio,MX,86.0,broken clouds,19.22,-104.7,Hotel Cabo Blanco
349,Tamparan,PH,76.69,broken clouds,7.88,124.33,Salamatullah taraka LDS
350,Kanniyakumari,IN,79.41,overcast clouds,8.08,77.57,New Cape Hotel
356,Nhulunbuy,AU,82.4,clear sky,-12.23,136.77,East Arnhem Real Estate
357,Tateyama,JP,78.01,light intensity shower rain,34.98,139.87,Tateyama Seaside Hotel
358,Aswan,EG,81.91,clear sky,24.09,32.91,Nuba Nile
360,Bose,IT,75.0,few clouds,45.46,8.01,Locanda Borgo Antico
365,Fiumicino,IT,79.0,clear sky,41.77,12.23,Al Porticciolo Hotel
368,Chum Phae,TH,76.32,overcast clouds,16.54,102.1,Major Grand
373,Hobyo,SO,75.47,overcast clouds,5.35,48.53,Osmani Hotel
375,Kaptanganj,IN,77.0,broken clouds,26.93,83.72,Bimla Sadan
384,Bubaque,GW,80.33,broken clouds,11.28,-15.83,Casa Dora
388,North Bend,US,78.01,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
391,Esquipulas,GT,78.8,few clouds,14.57,-89.35,Grand Caporal Hotel
399,Jalu,LY,78.17,clear sky,29.03,21.55,Jalu Hotel
400,Lorengau,PG,83.84,light rain,-2.02,147.27,Lorengau Harbourside Hotel
401,Salalah,OM,77.0,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
406,Aloleng,PH,83.46,broken clouds,16.13,119.78,Agno Umbrella Rocks
409,Salinopolis,BR,79.14,clear sky,-0.61,-47.36,Hotel Salinópolis
413,Kloulklubed,PW,82.4,broken clouds,7.04,134.26,Storyboard Beach Resort
414,Bekasi,ID,80.01,haze,-6.23,106.99,Aston Imperial Bekasi Hotel & Conference Center
417,Teocaltiche,MX,78.8,broken clouds,21.43,-102.58,Hotel los Caxcanes
421,Kalianget,ID,81.5,clear sky,-7.05,113.93,Pesanggrahan Garam
424,Dhola,IN,79.36,light rain,21.88,71.78,નિલેશ
425,Roswell,US,82.4,few clouds,34.02,-84.36,La Quinta Inn & Suites by Wyndham Atlanta Roswell
426,Tallahassee,US,75.2,light rain,30.44,-84.28,Four Points by Sheraton Tallahassee Downtown
427,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
434,Daru,PG,80.06,broken clouds,-9.08,143.21,New century hotel
435,Jining,CN,76.66,scattered clouds,35.41,116.58,Yunhe Star Hotel
436,Ormond Beach,US,84.99,overcast clouds,29.29,-81.06,Royal Floridian Resort By Spinnaker Resorts
437,Biak,ID,78.58,scattered clouds,-0.91,122.88,Kost Ariz
442,Mahibadhoo,MV,83.77,clear sky,3.78,72.97,Omadhoo Inn
444,Mandalgarh,IN,76.35,broken clouds,25.2,75.1,दुर्गा टेंट हाऊस
449,Srandakan,ID,75.96,scattered clouds,-7.94,110.25,Puri Brata
450,Kapoeta,SS,78.28,broken clouds,4.77,33.59,Eastgate Hotel
451,Cabedelo,BR,75.2,few clouds,-6.98,-34.83,Lua Mansa Pousada
455,Puyang,CN,82.36,clear sky,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
458,Alofi,NU,80.6,scattered clouds,-19.06,-169.92,Taloa Heights
459,Palmer,US,84.2,clear sky,42.16,-72.33,Wedgewood Motel
460,Broome,US,78.8,broken clouds,42.25,-75.83,Chenango Valley State Park
461,Victoria,HK,84.99,clear sky,22.29,114.16,Mini Hotel Central
465,Sokoni,TZ,76.23,light rain,-6.43,39.55,Ujamaa Beach Resort
475,Tual,ID,79.36,scattered clouds,-5.67,132.75,Grand Vilia Hotel
476,Pacifica,US,82.0,smoke,37.61,-122.49,"Pacifica Lighthouse, Trademark Collection by Wyndham"
477,Havelock,US,82.4,broken clouds,34.88,-76.9,Sherwood Motel
481,Gohana,IN,79.34,few clouds,29.13,76.7,Odada Shobhnath P.G Hostel
482,Umm Lajj,SA,81.86,clear sky,25.02,37.27,Moon light Furnished Units
483,Qingdao,CN,79.0,broken clouds,36.1,120.37,Holiday Inn Qingdao City Centre
485,Naze,JP,86.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
486,Eyl,SO,76.98,overcast clouds,7.98,49.82,Amiin Hotel
487,Buchanan,LR,77.0,light rain,5.88,-10.05,Kamaneahn Hotel Inc
495,Vung Tau,VN,82.0,overcast clouds,10.35,107.08,Seaside Resort
498,Marawi,PH,77.0,broken clouds,8.0,124.29,Salihmaruhom
500,Gorontalo,ID,80.69,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
501,Luwuk,ID,79.74,scattered clouds,-0.95,122.79,Hotel Santika Luwuk
507,Venustiano Carranza,MX,77.0,broken clouds,19.43,-99.1,Gran Hotel Ciudad de México
508,Kroya,ID,77.76,broken clouds,-7.63,109.25,RUSTANTO Fam
512,Iralaya,HN,87.8,scattered clouds,15.0,-83.23,Iglesia morava renovada
513,Catemaco,MX,86.0,haze,18.42,-95.12,Hotel Playa Cristal
515,Samarai,PG,77.32,broken clouds,-10.62,150.67,Nuli Sapi
516,Bandundu,CD,76.6,light rain,-3.32,17.37,Coja Color
519,Pitimbu,BR,75.2,few clouds,-7.47,-34.81,Reserva do Abiaí
521,Callaguip,PH,77.0,broken clouds,18.07,120.49,Pangil Beach Resort
522,Balaipungut,ID,75.24,light rain,1.05,101.28,Swee Ann Homestay
523,Bud,US,81.0,clear sky,39.45,-86.18,Madsion Scouts Camp
525,Shingu,JP,82.4,scattered clouds,33.73,135.98,Shingu UI Hotel
527,Repalle,IN,80.78,light rain,16.02,80.85,kakarlamudi Ravi
535,Nabire,ID,78.53,light rain,-3.37,135.48,Hotel Nusantara Nabire
541,Labuhan,ID,77.76,clear sky,-6.88,112.21,bador sepret
542,Pontian Kecil,MY,77.0,few clouds,1.48,103.39,SUNFLOWER EXPRESS HOTEL
544,Loa Janan,ID,79.32,broken clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
549,Itarema,BR,77.43,clear sky,-2.92,-39.92,Windvillage
550,Boa Vista,BR,86.0,shower rain,2.82,-60.67,Aipana Plaza Hotel
554,Monroe,US,81.0,light rain,43.15,-77.68,Staybridge Suites Rochester University
555,Auki,SB,83.82,light rain,-8.77,160.7,Auki Motel
557,San Miguel,SV,78.8,scattered clouds,13.48,-88.18,Excalibur
562,Borba,BR,80.64,clear sky,-4.39,-59.59,Hotel da Amazônia
566,Kalia,BD,78.51,light rain,23.04,89.63,সামিয়া এন্টারপ্রাইজ
567,Banda Aceh,ID,78.53,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
580,Tautira,PF,84.2,scattered clouds,-17.73,-149.15,Pension Oaoa
591,Puerto Colombia,CO,82.83,light rain,10.99,-74.95,Hotel El Emigrante
592,Freetown,SL,76.84,light rain,8.48,-13.23,The Country Lodge Hotel
